FromCatID,ToCatID,NoName,,
13,18,,,
18,13,,,
13,49,,,
13,50,,,
13,6,,,
13,40,,,
13,41,,,
41,13,,,
13,51,,,
13,48,,,
48,13,,,
13,3,,,
13,2,,,
13,35,,,
35,13,,,
13,52,,,
13,44,,,
13,42,,,
42,13,,,
13,15,,,
13,45,,,
45,13,,,
13,33,,,
13,46,,,
13,31,,,
13,26,,,
26,13,,,
13,17,,,
13,47,,,
47,13,,,
13,57,,,
57,13,,,
13,37,,,
37,13,,,
13,11,,,
13,27,,,
13,14,,,
14,13,,,
13,29,,,
18,44,,,
44,18,,,
18,5,,,
5,18,,,
18,17,,,
17,18,,,
18,24,,,
24,18,,,
18,21,,,
21,18,,,
18,48,,,
48,18,,,
18,14,,,
18,16,,,
16,18,,,
18,29,1,,
18,25,,,
25,18,,,
18,28,,,
28,18,,,
18,34,,,
34,18,,,
18,3,,,
2,18,1,,
18,54,,,
54,18,,,
18,23,,,
18,7,,,
18,56,,,
18,55,,,
18,9,,,
9,18,,,
18,8,,,
18,53,,,
18,22,,,
18,50,,,
18,19,,,
19,18,,,
18,49,,,
18,10,,,
21,19,,,
19,21,,,
21,25,,,
25,21,,,
21,14,,,
14,21,,,
21,17,,,
17,21,,,
21,5,,,
5,21,,,
5,3,,,
3,5,,,
5,16,,,
16,5,,,
5,24,,,
24,5,,,
5,17,,,
17,5,,,
17,48,,,
48,17,,,
17,47,,,
47,17,,,
44,17,,,
45,17,,,
46,17,,,
17,46,,,
41,17,,,
17,43,,,
17,26,,,
26,17,,,
17,24,,,
24,17,,,
17,16,,,
16,17,,,
17,4,,,
4,17,,,
28,17,1,,
17,29,1,,
17,25,,,
25,17,,,
17,11,,,
11,17,,,
17,15,1,,
15,41,,,
41,15,,,
15,42,,,
42,15,,,
15,33,,,
15,11,,,
11,15,,,
15,43,,,
28,33,1,,
28,31,1,,
28,37,1,,
28,29,1,,
28,25,1,,
28,36,1,,
28,38,1,,
28,39,1,,
28,34,1,,
28,35,1,,
28,1,1,,
28,30,1,,
28,23,1,,
28,22,1,,
24,16,,,
16,24,,,
24,23,,,
52,51,,,
51,50,,,
50,51,,,
22,50,,,
3,4,,,
4,3,,,
3,1,,,
3,2,1,,
23,54,,,
54,23,,,
23,29,1,,
23,35,,,
35,23,,,
23,30,,,
1,2,1,,
2,29,1,,
29,2,1,,
25,2,1,,
2,25,1,,
14,25,,,
25,14,,,
35,39,1,,